Interaction:  c_gam_178(X)^(*)  AntiPart c_del_178(X)  to  e_eps_85(X)  AntiPart e_eta_163(X)^(*) : Vertex V_0:e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1:c(X_1), AntiPart c(X_2),  OffShell A(V_1), : 1/3*i*e^2*gamma_{+%\sigma_325,%eta_160,%eps_82}*gamma_{%\sigma_325,%gam_176,%del_176}*c_{l_71,%eta_160}(p_2)_v^(*)*c_{k_71,%eps_82}(p_1)_u*e_{i_73,%gam_176}(p_3)_u^(*)*e_{j_73,%del_176}(p_4)_v/(m_c^2 + s_12 + 1/2*reg_prop) : 1/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  OffShell c_beta_189(X)^(*)  AntiPart OffShell c_gam_1490(X)  to  AntiPart OffShell e_beta_545(X)^(*)  e_gam_1820(X) : Vertex V_0:AntiPart  OffShell e(X_3), e(X_4),  OffShell A(V_0), Vertex V_1: OffShell c(X_1), AntiPart  OffShell c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_1870,%gam_1816,%beta_542}*gamma_{%\sigma_1870,%gam_1817,%eta_881}*c_{k_401,%beta_542}(p_1)_u*c_{l_401,%gam_1816}(p_2)_v^(*)*e_{i_403,%eta_881}(p_3)_v*e_{j_403,%gam_1817}(p_4)_u^(*)/(s_11 + 2*s_12 + s_22 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  OffShell c_beta_189(X)^(*)  AntiPart OffShell c_gam_1490(X)  to  AntiPart OffShell e_beta_545(X)^(*)  OffShell e_alpha_509(X) : Vertex V_0:AntiPart  OffShell e(X_3),  OffShell e(X_4),  OffShell A(V_0), Vertex V_1: OffShell c(X_1), AntiPart  OffShell c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_1911,%gam_1866,%beta_568}*gamma_{%\sigma_1911,%gam_1867,%del_921}*c_{k_408,%beta_568}(p_1)_u*c_{l_408,%gam_1866}(p_2)_v^(*)*e_{i_410,%del_921}(p_3)_v*e_{j_410,%gam_1867}(p_4)_u^(*)/(s_11 + 2*s_12 + s_22 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart c_eps_376(X)  c_eta_927(X)^(*)  to  e_alpha_523(X)  AntiPart e_beta_603(X)^(*) : Vertex V_0:e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1:AntiPart c(X_1), c(X_2),  OffShell A(V_1), : 1/3*i*e^2*gamma_{+%\sigma_1973,%eta_925,%beta_600}*gamma_{%\sigma_1973,%gam_1916,%del_953}*c_{l_423,%beta_600}(p_2)_u*c_{k_423,%eta_925}(p_1)_v^(*)*e_{i_425,%gam_1916}(p_3)_u^(*)*e_{j_425,%del_953}(p_4)_v/(m_c^2 + s_12 + 1/2*reg_prop) : 1/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  AntiPart c_eps_376(X)  c_eta_927(X)^(*)  to  e_alpha_523(X)  AntiPart OffShell e_beta_621(X)^(*) : Vertex V_0:e(X_3), AntiPart  OffShell e(X_4),  OffShell A(V_0), Vertex V_1:AntiPart c(X_1), c(X_2),  OffShell A(V_1), : 1/3*i*e^2*gamma_{+%\sigma_2006,%eta_959,%eta_960}*gamma_{%\sigma_2006,%gam_1946,%del_983}*c_{k_430,%eta_959}(p_1)_v^(*)*c_{l_430,%eta_960}(p_2)_u*e_{j_432,%del_983}(p_4)_v*e_{i_432,%gam_1946}(p_3)_u^(*)/(m_c^2 + s_12 + 1/2*reg_prop) : 1/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  AntiPart c_eps_376(X)  c_eta_927(X)^(*)  to  OffShell e_del_1007(X)  AntiPart e_eps_388(X)^(*) : Vertex V_0: OffShell e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1:AntiPart c(X_1), c(X_2),  OffShell A(V_1), : 1/3*i*e^2*gamma_{+%\sigma_2058,%eta_1009,%eta_1010}*gamma_{%\sigma_2058,%gam_1980,%gam_1981}*c_{l_441,%eta_1010}(p_2)_u*c_{k_441,%eta_1009}(p_1)_v^(*)*e_{j_443,%gam_1981}(p_4)_v*e_{i_443,%gam_1980}(p_3)_u^(*)/(m_c^2 + s_12 + 1/2*reg_prop) : 1/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  AntiPart c_eps_376(X)  c_eta_927(X)^(*)  to  OffShell e_del_1007(X)  AntiPart OffShell e_gam_2025(X)^(*) : Vertex V_0: OffShell e(X_3), AntiPart  OffShell e(X_4),  OffShell A(V_0), Vertex V_1:AntiPart c(X_1), c(X_2),  OffShell A(V_1), : 1/3*i*e^2*gamma_{+%\sigma_2105,%eta_1059,%eta_1060}*gamma_{%\sigma_2105,%gam_2023,%del_1019}*c_{k_448,%eta_1059}(p_1)_v^(*)*c_{l_448,%eta_1060}(p_2)_u*e_{j_450,%del_1019}(p_4)_v*e_{i_450,%gam_2023}(p_3)_u^(*)/(m_c^2 + s_12 + 1/2*reg_prop) : 1/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  AntiPart c_eps_376(X)  c_eta_927(X)^(*)  to  AntiPart e_alpha_565(X)^(*)  e_beta_635(X) : Vertex V_0:AntiPart e(X_3), e(X_4),  OffShell A(V_0), Vertex V_1:AntiPart c(X_1), c(X_2),  OffShell A(V_1), : 1/3*i*e^2*gamma_{+%\sigma_2152,%eta_1110,%eta_1111}*gamma_{%\sigma_2152,%gam_2050,%eps_403}*c_{l_455,%eta_1111}(p_2)_u*c_{k_455,%eta_1110}(p_1)_v^(*)*e_{i_457,%eps_403}(p_3)_v*e_{j_457,%gam_2050}(p_4)_u^(*)/(m_c^2 + s_12 + 1/2*reg_prop) : 1/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  AntiPart c_eps_376(X)  c_eta_927(X)^(*)  to  AntiPart e_alpha_565(X)^(*)  OffShell e_eta_1165(X) : Vertex V_0:AntiPart e(X_3),  OffShell e(X_4),  OffShell A(V_0), Vertex V_1:AntiPart c(X_1), c(X_2),  OffShell A(V_1), : 1/3*i*e^2*gamma_{+%\sigma_2195,%eta_1161,%eta_1162}*gamma_{%\sigma_2195,%gam_2077,%del_1057}*c_{l_462,%eta_1162}(p_2)_u*c_{k_462,%eta_1161}(p_1)_v^(*)*e_{i_464,%del_1057}(p_3)_v*e_{j_464,%gam_2077}(p_4)_u^(*)/(m_c^2 + s_12 + 1/2*reg_prop) : 1/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  AntiPart c_eps_376(X)  c_eta_927(X)^(*)  to  AntiPart OffShell e_eta_1215(X)^(*)  e_alpha_585(X) : Vertex V_0:AntiPart  OffShell e(X_3), e(X_4),  OffShell A(V_0), Vertex V_1:AntiPart c(X_1), c(X_2),  OffShell A(V_1), : 1/3*i*e^2*gamma_{+%\sigma_2238,%eta_1211,%eta_1212}*gamma_{%\sigma_2238,%gam_2104,%del_1085}*c_{l_473,%eta_1212}(p_2)_u*c_{k_473,%eta_1211}(p_1)_v^(*)*e_{j_475,%gam_2104}(p_4)_u^(*)*e_{i_475,%del_1085}(p_3)_v/(m_c^2 + s_12 + 1/2*reg_prop) : 1/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  AntiPart c_eps_376(X)  c_eta_927(X)^(*)  to  AntiPart OffShell e_eta_1215(X)^(*)  OffShell e_eps_447(X) : Vertex V_0:AntiPart  OffShell e(X_3),  OffShell e(X_4),  OffShell A(V_0), Vertex V_1:AntiPart c(X_1), c(X_2),  OffShell A(V_1), : 1/3*i*e^2*gamma_{+%\sigma_2288,%eta_1266,%eta_1267}*gamma_{%\sigma_2288,%gam_2131,%eta_1268}*c_{k_480,%eta_1266}(p_1)_v^(*)*c_{l_480,%eta_1267}(p_2)_u*e_{j_482,%gam_2131}(p_4)_u^(*)*e_{i_482,%eta_1268}(p_3)_v/(m_c^2 + s_12 + 1/2*reg_prop) : 1/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_12 + 1/2*reg_prop)^(-2)
Interaction:  AntiPart c_eps_376(X)  OffShell c_eta_1333(X)^(*)  to  e_alpha_603(X)  AntiPart e_beta_645(X)^(*) : Vertex V_0:e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1:AntiPart c(X_1),  OffShell c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_2348,%eta_1331,%gam_2165}*gamma_{%\sigma_2348,%gam_2166,%eps_460}*c_{l_495,%gam_2165}(p_2)_u*c_{k_495,%eta_1331}(p_1)_v^(*)*e_{i_497,%gam_2166}(p_3)_u^(*)*e_{j_497,%eps_460}(p_4)_v/(m_c^2 + 2*s_12 + s_22 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart c_eps_376(X)  OffShell c_eta_1333(X)^(*)  to  e_alpha_603(X)  AntiPart OffShell e_alpha_613(X)^(*) : Vertex V_0:e(X_3), AntiPart  OffShell e(X_4),  OffShell A(V_0), Vertex V_1:AntiPart c(X_1),  OffShell c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_2387,%eta_1370,%eta_1371}*gamma_{%\sigma_2387,%gam_2210,%eta_1372}*c_{l_502,%eta_1371}(p_2)_u*c_{k_502,%eta_1370}(p_1)_v^(*)*e_{j_504,%eta_1372}(p_4)_v*e_{i_504,%gam_2210}(p_3)_u^(*)/(m_c^2 + 2*s_12 + s_22 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart c_eps_376(X)  OffShell c_eta_1333(X)^(*)  to  OffShell e_gam_2239(X)  AntiPart e_del_1151(X)^(*) : Vertex V_0: OffShell e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1:AntiPart c(X_1),  OffShell c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_2430,%eta_1438,%eta_1439}*gamma_{%\sigma_2430,%gam_2237,%del_1149}*c_{l_513,%eta_1439}(p_2)_u*c_{k_513,%eta_1438}(p_1)_v^(*)*e_{i_515,%gam_2237}(p_3)_u^(*)*e_{j_515,%del_1149}(p_4)_v/(m_c^2 + 2*s_12 + s_22 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart c_eps_376(X)  OffShell c_eta_1333(X)^(*)  to  OffShell e_gam_2239(X)  AntiPart OffShell e_beta_655(X)^(*) : Vertex V_0: OffShell e(X_3), AntiPart  OffShell e(X_4),  OffShell A(V_0), Vertex V_1:AntiPart c(X_1),  OffShell c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_2469,%eta_1488,%eta_1489}*gamma_{%\sigma_2469,%gam_2265,%del_1176}*c_{k_520,%eta_1488}(p_1)_v^(*)*c_{l_520,%eta_1489}(p_2)_u*e_{j_522,%del_1176}(p_4)_v*e_{i_522,%gam_2265}(p_3)_u^(*)/(m_c^2 + 2*s_12 + s_22 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart c_eps_376(X)  OffShell c_eta_1333(X)^(*)  to  AntiPart e_eta_1540(X)^(*)  e_alpha_647(X) : Vertex V_0:AntiPart e(X_3), e(X_4),  OffShell A(V_0), Vertex V_1:AntiPart c(X_1),  OffShell c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_2509,%eta_1536,%eta_1537}*gamma_{%\sigma_2509,%gam_2295,%del_1204}*c_{l_527,%eta_1537}(p_2)_u*c_{k_527,%eta_1536}(p_1)_v^(*)*e_{i_529,%del_1204}(p_3)_v*e_{j_529,%gam_2295}(p_4)_u^(*)/(m_c^2 + 2*s_12 + s_22 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart c_eps_376(X)  OffShell c_eta_1333(X)^(*)  to  AntiPart e_eta_1540(X)^(*)  OffShell e_eps_512(X) : Vertex V_0:AntiPart e(X_3),  OffShell e(X_4),  OffShell A(V_0), Vertex V_1:AntiPart c(X_1),  OffShell c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_2548,%eta_1591,%eta_1592}*gamma_{%\sigma_2548,%gam_2322,%eta_1593}*c_{l_534,%eta_1592}(p_2)_u*c_{k_534,%eta_1591}(p_1)_v^(*)*e_{j_536,%gam_2322}(p_4)_u^(*)*e_{i_536,%eta_1593}(p_3)_v/(m_c^2 + 2*s_12 + s_22 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart c_eps_376(X)  OffShell c_eta_1333(X)^(*)  to  AntiPart OffShell e_eps_518(X)^(*)  e_eta_1663(X) : Vertex V_0:AntiPart  OffShell e(X_3), e(X_4),  OffShell A(V_0), Vertex V_1:AntiPart c(X_1),  OffShell c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_2591,%eta_1659,%eta_1660}*gamma_{%\sigma_2591,%gam_2354,%gam_2355}*c_{k_545,%eta_1659}(p_1)_v^(*)*c_{l_545,%eta_1660}(p_2)_u*e_{i_547,%gam_2355}(p_3)_v*e_{j_547,%gam_2354}(p_4)_u^(*)/(m_c^2 + 2*s_12 + s_22 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart c_eps_376(X)  OffShell c_eta_1333(X)^(*)  to  AntiPart OffShell e_eps_518(X)^(*)  OffShell e_del_1253(X) : Vertex V_0:AntiPart  OffShell e(X_3),  OffShell e(X_4),  OffShell A(V_0), Vertex V_1:AntiPart c(X_1),  OffShell c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_2638,%eta_1709,%eta_1710}*gamma_{%\sigma_2638,%gam_2400,%eps_527}*c_{l_552,%eta_1710}(p_2)_u*c_{k_552,%eta_1709}(p_1)_v^(*)*e_{j_554,%gam_2400}(p_4)_u^(*)*e_{i_554,%eps_527}(p_3)_v/(m_c^2 + 2*s_12 + s_22 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart OffShell c_beta_699(X)  c_gam_2466(X)^(*)  to  e_del_1304(X)  AntiPart e_eps_594(X)^(*) : Vertex V_0:e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell c(X_1), c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_2866,%eta_1791,%eps_591}*gamma_{%\sigma_2866,%gam_2464,%del_1301}*c_{k_631,%eta_1791}(p_1)_v^(*)*c_{l_631,%eps_591}(p_2)_u*e_{i_633,%gam_2464}(p_3)_u^(*)*e_{j_633,%del_1301}(p_4)_v/(m_c^2 + s_11 + 2*s_12 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  AntiPart OffShell c_beta_699(X)  c_gam_2466(X)^(*)  to  e_del_1304(X)  AntiPart OffShell e_eps_612(X)^(*) : Vertex V_0:e(X_3), AntiPart  OffShell e(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell c(X_1), c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_2913,%eta_1821,%gam_2498}*gamma_{%\sigma_2913,%gam_2499,%del_1335}*c_{k_638,%eta_1821}(p_1)_v^(*)*c_{l_638,%gam_2498}(p_2)_u*e_{i_640,%gam_2499}(p_3)_u^(*)*e_{j_640,%del_1335}(p_4)_v/(m_c^2 + s_11 + 2*s_12 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  AntiPart OffShell c_beta_699(X)  c_gam_2466(X)^(*)  to  OffShell e_alpha_735(X)  AntiPart e_beta_711(X)^(*) : Vertex V_0: OffShell e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell c(X_1), c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_2956,%eta_1855,%gam_2548}*gamma_{%\sigma_2956,%gam_2549,%eta_1856}*c_{l_649,%gam_2548}(p_2)_u*c_{k_649,%eta_1855}(p_1)_v^(*)*e_{j_651,%eta_1856}(p_4)_v*e_{i_651,%gam_2549}(p_3)_u^(*)/(m_c^2 + s_11 + 2*s_12 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  AntiPart OffShell c_beta_699(X)  c_gam_2466(X)^(*)  to  OffShell e_alpha_735(X)  AntiPart OffShell e_eta_1900(X)^(*) : Vertex V_0: OffShell e(X_3), AntiPart  OffShell e(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell c(X_1), c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_3003,%eta_1898,%gam_2598}*gamma_{%\sigma_3003,%gam_2599,%eps_626}*c_{k_656,%eta_1898}(p_1)_v^(*)*c_{l_656,%gam_2598}(p_2)_u*e_{j_658,%eps_626}(p_4)_v*e_{i_658,%gam_2599}(p_3)_u^(*)/(m_c^2 + s_11 + 2*s_12 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  AntiPart OffShell c_beta_699(X)  c_gam_2466(X)^(*)  to  AntiPart e_del_1384(X)^(*)  e_eps_645(X) : Vertex V_0:AntiPart e(X_3), e(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell c(X_1), c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_3043,%eta_1925,%gam_2649}*gamma_{%\sigma_3043,%gam_2650,%del_1382}*c_{k_663,%eta_1925}(p_1)_v^(*)*c_{l_663,%gam_2649}(p_2)_u*e_{j_665,%gam_2650}(p_4)_u^(*)*e_{i_665,%del_1382}(p_3)_v/(m_c^2 + s_11 + 2*s_12 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  AntiPart OffShell c_beta_699(X)  c_gam_2466(X)^(*)  to  AntiPart e_del_1384(X)^(*)  OffShell e_gam_2704(X) : Vertex V_0:AntiPart e(X_3),  OffShell e(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell c(X_1), c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_3090,%eta_1952,%gam_2700}*gamma_{%\sigma_3090,%gam_2701,%del_1410}*c_{l_670,%gam_2700}(p_2)_u*c_{k_670,%eta_1952}(p_1)_v^(*)*e_{j_672,%gam_2701}(p_4)_u^(*)*e_{i_672,%del_1410}(p_3)_v/(m_c^2 + s_11 + 2*s_12 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  AntiPart OffShell c_beta_699(X)  c_gam_2466(X)^(*)  to  AntiPart OffShell e_gam_2754(X)^(*)  e_del_1442(X) : Vertex V_0:AntiPart  OffShell e(X_3), e(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell c(X_1), c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_3133,%eta_1979,%gam_2750}*gamma_{%\sigma_3133,%gam_2751,%del_1440}*c_{l_681,%gam_2750}(p_2)_u*c_{k_681,%eta_1979}(p_1)_v^(*)*e_{j_683,%gam_2751}(p_4)_u^(*)*e_{i_683,%del_1440}(p_3)_v/(m_c^2 + s_11 + 2*s_12 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  AntiPart OffShell c_beta_699(X)  c_gam_2466(X)^(*)  to  AntiPart OffShell e_gam_2754(X)^(*)  OffShell e_beta_751(X) : Vertex V_0:AntiPart  OffShell e(X_3),  OffShell e(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell c(X_1), c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_3172,%eta_2006,%gam_2805}*gamma_{%\sigma_3172,%gam_2806,%gam_2807}*c_{k_688,%eta_2006}(p_1)_v^(*)*c_{l_688,%gam_2805}(p_2)_u*e_{j_690,%gam_2806}(p_4)_u^(*)*e_{i_690,%gam_2807}(p_3)_v/(m_c^2 + s_11 + 2*s_12 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_11 + 2*s_12 + reg_prop)^(-2)
Interaction:  AntiPart OffShell c_beta_699(X)  OffShell c_gam_2872(X)^(*)  to  e_del_1479(X)  AntiPart e_eps_655(X)^(*) : Vertex V_0:e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell c(X_1),  OffShell c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_3232,%eta_2040,%eta_2041}*gamma_{%\sigma_3232,%gam_2870,%del_1477}*c_{k_703,%eta_2040}(p_1)_v^(*)*c_{l_703,%eta_2041}(p_2)_u*e_{j_705,%del_1477}(p_4)_v*e_{i_705,%gam_2870}(p_3)_u^(*)/(s_11 + 2*s_12 + s_22 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart OffShell c_beta_699(X)  OffShell c_gam_2872(X)^(*)  to  e_del_1479(X)  AntiPart OffShell e_del_1503(X)^(*) : Vertex V_0:e(X_3), AntiPart  OffShell e(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell c(X_1),  OffShell c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_3277,%eta_2085,%gam_2909}*gamma_{%\sigma_3277,%gam_2910,%gam_2911}*c_{k_710,%eta_2085}(p_1)_v^(*)*c_{l_710,%gam_2909}(p_2)_u*e_{i_712,%gam_2910}(p_3)_u^(*)*e_{j_712,%gam_2911}(p_4)_v/(s_11 + 2*s_12 + s_22 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
Interaction:  AntiPart OffShell c_beta_699(X)  OffShell c_gam_2872(X)^(*)  to  OffShell e_eta_2114(X)  AntiPart e_alpha_817(X)^(*) : Vertex V_0: OffShell e(X_3), AntiPart e(X_4),  OffShell A(V_0), Vertex V_1:AntiPart  OffShell c(X_1),  OffShell c(X_2),  OffShell A(V_1), : 2/3*i*e^2*gamma_{+%\sigma_3320,%eta_2112,%gam_2977}*gamma_{%\sigma_3320,%gam_2978,%eps_665}*c_{k_721,%eta_2112}(p_1)_v^(*)*c_{l_721,%gam_2977}(p_2)_u*e_{j_723,%eps_665}(p_4)_v*e_{i_723,%gam_2978}(p_3)_u^(*)/(s_11 + 2*s_12 + s_22 + reg_prop) : 4/9*e^4*(16*m_c^2*m_e^2 + 8*m_e^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
